Member ID,Description
10001,Acute Care Surgery
20002,Anesthesia
30003,Cardiology
40004,Cardiothoracic Surgery
50005,Emergency - Adult
60006,Emergency - Peds
70007,Endocrinology
80008,Family Practice
90009,Gastroenterology
100010,General Surgery
110011,Gynecologic Oncology
120012,Gynecology
130013,Hematology / Oncology
140014,High Risk Obstetrics
150015,Internal Medicine
160016,Kidney Transplant
170017,Liver Transplant
180018,Neonatology
190019,Neurology
200020,Neurology - Stroke
210021,Neurosurgery
220022,Obstetrics
230023,Orthopedic Surgery
240024,Pediatric Cardiology
250025,Pediatric Endocrinology
260026,Pediatric ENT
270027,Pediatric Gastroenterology
280028,Pediatric Hematology / Oncology
290029,Pediatric Intensivist
300030,Pediatric Neurology
310031,Pediatric Pulmonology
320032,Pediatric Rheumatology
330033,Pediatrics
340034,Plastic Surgery
350035,Pulmonology
360036,Surgical Oncology
370037,Urology
380038,Vascular Surgery
